variable,Temperature,Temperature,Temperature,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Gust,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration
unit,°F,°F,°F,°F,mm,%,km/h,°,km/h,°,km/h,km/h,°,km/h,°,km/h,°,km/h,°,%,%,%,%,min
level,2 m elevation corrected,1000 mb,850 mb,700 mb,sfc,2 m,10 m,10 m,80 m,80 m,sfc,900 mb,900 mb,850 mb,850 mb,700 mb,700 mb,500 mb,500 mb,sfc,high cld lay,mid cld lay,low cld lay,sfc
20190523T0900,56.28406,53.294,50.323997,28.436,0.0,84.0,9.693296,211.32869,10.163227,202.9321,10.08,7.754637,201.8014,17.49615,306.63412,34.63492,316.6847,51.851246,324.3236,100.0,100.0,100.0,100.0,0.0
20190523T1000,57.742065,54.068,50.09,28.634,0.0,81.0,11.119281,209.05461,11.269782,206.56505,12.24,9.826088,208.44293,16.267857,294.8637,31.845251,317.29062,49.392204,323.29715,100.0,16.0,88.0,100.0,0.0
20190523T1100,58.174065,54.5,49.748,28.832,0.0,79.0,12.594856,210.96376,11.4862,212.19574,14.04,11.090103,215.75389,16.24394,282.80426,28.551426,318.0665,46.44558,322.24188,100.0,0.0,85.0,100.0,0.0
20190523T1200,58.13806,54.302002,49.46,29.048,0.0,79.0,13.896187,216.57303,13.783817,220.76361,15.119999,13.513193,228.2397,16.93531,272.43665,25.476198,317.29062,43.488533,323.41467,100.0,0.0,57.0,100.0,0.0
20190523T1300,57.29206,53.348,49.1,29.174,0.0,80.0,16.08761,220.46222,15.7908325,226.84761,17.28,16.489416,233.88066,17.057314,262.725,23.675303,314.38397,39.640884,325.73267,100.0,0.0,26.0,100.0,0.0
20190523T1400,55.852062,52.087997,48.83,29.246,0.0,83.0,16.563911,222.35745,16.595179,229.39871,16.56,17.283749,234.3236,16.24394,257.19574,22.91026,315.0,37.053776,327.6996,100.0,0.0,57.0,100.0,0.0
20190523T1500,55.04206,51.53,48.596,29.3,0.0,83.0,16.831684,221.53177,15.815435,228.69138,16.919998,17.148247,230.9645,15.379206,253.68616,22.42427,317.60257,36.12398,330.11346,100.0,0.0,1.0,100.0,0.0
20190524T0900,62.602062,58.91,46.796,32.738,0.0,75.0,2.16,360.0,1.8,360.0,7.92,9.957108,49.398697,18.79255,53.569138,29.354904,33.495163,58.96202,12.339081,32.0,0.0,0.0,32.0,39.57447
20190524T1000,66.72406,61.934,46.922,32.882,0.0,66.0,1.835647,348.69006,1.609969,26.565033,11.159999,5.8048253,29.744873,16.641972,51.14662,28.772987,31.701416,55.215126,12.042572,18.0,0.0,0.0,18.0,48.51064
20190524T1100,70.03606,65.048004,47.264,33.008,0.0,61.0,3.0547013,315.0,2.2768397,18.434952,14.04,4.32,360.0,10.182337,44.999985,28.277763,31.464142,50.26868,11.148987,30.0,0.0,0.0,30.0,40.851067
20190524T1200,71.65607,66.668,47.534,33.134,0.0,59.0,4.510787,298.61047,2.1897945,350.5377,16.56,4.3498964,335.55603,7.24486,26.565033,27.783045,31.218384,45.516872,8.642807,35.0,0.0,0.0,35.0,37.659573
20190524T1300,69.53206,66.145996,47.984,33.296,0.0,63.0,6.28713,283.2405,2.7416782,293.1986,19.08,5.3517847,312.27368,7.771331,13.392487,27.666182,32.242447,40.480392,5.1021576,61.0,0.0,0.0,61.0,21.063831
20190524T1400,71.188065,66.451996,48.686,33.422,0.0,62.0,7.69592,280.7843,5.2416787,285.9454,18.72,7.628263,289.29004,8.647496,2.3859253,27.07669,35.80333,36.36,360.0,33.0,0.0,0.0,33.0,38.93617
20190524T1500,70.43207,66.254,49.334,33.512,0.0,64.0,9.0645685,276.84277,6.379216,286.38956,18.359999,8.12197,282.80426,9.36,360.0,25.922499,37.66562,33.3559,353.18176,43.0,0.0,0.0,43.0,32.553192
20190525T0900,64.38406,60.295998,50.612,34.034,0.0,71.0,10.464797,220.8151,10.514218,218.04704,11.5199995,11.988594,221.34778,21.096123,244.74684,22.505037,277.3524,39.061245,289.938,43.0,0.0,0.0,43.0,32.553192
20190525T1000,66.47206,61.862,50.252,34.304,0.0,64.0,13.237038,225.0,13.276144,220.6013,14.4,15.273505,225.0,22.380884,244.25931,23.4,270.0,36.44722,286.64505,20.0,0.0,0.0,20.0,47.234047
20190525T1100,67.408066,62.636,49.963997,34.394,0.0,60.0,16.323528,228.57634,16.039202,225.9094,17.28,19.681828,230.19443,19.652176,241.55707,24.162945,266.58344,32.489876,285.42218,34.0,0.0,0.0,34.0,38.297874
20190525T1200,67.31806,62.239998,49.676,34.25,0.0,59.0,18.11841,229.02826,18.59845,227.3533,18.0,22.771244,230.77432,19.770523,236.88866,23.933907,263.08878,28.483257,286.14435,33.0,0.0,0.0,33.0,38.93617
20190525T1300,66.52606,61.61,49.388,34.034,0.0,59.0,19.914215,229.39871,18.075441,225.80693,18.72,23.78453,230.52754,19.95972,230.85602,23.266697,261.9953,25.872454,291.20923,45.0,0.0,0.0,45.0,31.276594
20190525T1400,65.39206,60.547997,49.045998,33.836,0.0,59.0,20.421871,229.28915,19.61587,227.23117,18.72,24.014996,229.86452,20.150354,228.62149,21.841648,261.46924,24.696104,300.6773,22.0,0.0,0.0,22.0,45.95745
20190525T1500,63.75406,59.432,48.614,33.71,0.0,60.0,20.696087,229.93921,19.453327,231.009,18.359999,24.063513,231.07246,19.862083,226.46881,19.602652,262.61395,26.220753,314.44376,39.0,0.0,0.0,39.0,35.106384
20190526T0900,54.484062,52.106,34.988,21.686,0.0,85.0,14.8257065,240.9454,13.608762,232.52382,21.24,23.441502,259.38034,26.282465,270.78485,49.576847,264.16522,101.272675,262.6476,100.0,0.0,0.0,100.0,0.0
20190526T1000,54.214066,51.781998,34.646,19.382,0.4,81.0,17.727943,246.0375,18.998316,242.9494,24.84,25.49908,256.94476,27.72,270.0,39.37353,265.27985,99.79989,264.61847,86.0,0.0,0.0,86.0,5.1063824
20190526T1100,53.908062,51.26,34.016,17.672,0.3,79.0,20.037485,252.21611,25.516865,253.61046,26.64,28.241076,258.97656,29.5551,272.79272,29.574827,266.51068,100.75435,261.78305,86.0,0.0,0.0,86.0,5.1063824
20190526T1200,53.63806,50.828,33.656,16.232,0.2,79.0,20.780453,255.96376,27.25559,257.79953,26.28,28.410364,261.25385,30.018473,275.5055,25.582806,267.5805,99.02618,261.42804,100.0,0.0,0.0,100.0,0.0
20190526T1300,53.296062,50.575996,33.512,15.476,0.2,80.0,20.12461,259.69516,24.387177,261.51105,24.119999,27.475807,264.7376,30.147717,281.71246,25.922499,270.79572,86.82047,267.86133,100.0,0.0,0.0,100.0,0.0
20190526T1400,55.762062,51.17,33.494,15.746,0.1,74.0,18.175545,262.0304,21.03152,263.1183,21.96,22.862125,262.7631,28.348713,287.7447,26.576681,278.56915,74.74488,283.36694,70.0,0.0,0.0,70.0,15.319151
20190526T1500,53.71006,51.115997,33.566,16.25,0.0,76.0,16.343367,262.40536,17.81909,261.8699,20.16,20.364674,261.8699,24.94413,290.2657,26.758923,289.6538,76.08871,299.4759,100.0,0.0,0.0,100.0,0.0
